Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,elevation,dist_water,dist_forest,dist_village
1,07-09-25,leopard,panchela,Nashik,Maharastra,10yr,Dead,The leopard attacked the boy and dragged him to the maze field.,https://timesofindia.indiatimes.com/city/nashik/10-year-old-killed-in-leopard-attack-in-sinnar/articleshow/123772521.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.959202287242235,73.82879063545505,302,1186,1139,1498
2,05-09-25,leopard,kandrawali,nagina dehat,Uttar pradesh,10yr,Dead,The leopard attacked the girl and dragged her to the sugarcane  field.,"UP Leopard attack | UP: Leopard kills young girl in Bijnor village, dragged to field while fetching milk - Telegraph India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.32968689093656,78.1018755573945,635,1903,190,851
3,27/08/25,leopard,kuthabari,jalpaiguri,West bengal,12yr,Dead,The leopard suddenly pounced and dragged him into a farm,Leopard attack | Leopard mauls 12-year-old schoolboy to death while out in search of calf - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.537601520482117,88.7122011187888,470,1570,252,1687
4,02-09-25,leopard,ramdaswali,bijnor,Uttar pradesh,6yr,Dead,The leopard hiding in sugarcane field atacked him,"Leopard mauls 6yo boy to death, 33rd victim since 2023 in Bijnor | Meerut News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.332462313412385,78.11817547595616,306,2539,980,1931
5,04-09-25,Tiger,pathri,chandrapur,Maharastra,74yr,Dead,The man was wedding in the field when th tiger pounced on him and dragged him away,Tiger mauls farmer to death in Chandrapur | Nagpur News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.008374072630644,79.2810102062233,271,613,927,689
6,22/08/25,Tiger,narni,sitapur,Uttar pradesh,24yr,Dead,The man was attacked by the tiger when he went to his feild to fetch podder,"After two deaths in 14 days, Sitapur tiger remains elusive | Lucknow News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.604345541317556,80.65060602505274,220,1341,1184,1698
9,09-08-25,leopard,badade,Nashik,Maharastra,75yr,Dead,The woman was working in a farm when the leopard attacked her,Elderly woman killed in leopard attack in Dindori village | Nashik News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.002615371526215,73.80161343742992,321,1686,1279,379
11,03-08-25,leopard,mainipurva,kheri,Uttar pradesh,77yr,Dead,The women was dragged to sugarcanefield by the leopard,"Leopard enters home, kills 77yo woman; 2nd fatal attack in week | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94489643736502,80.73694145353254,666,748,1346,1568
14,28/07/25,leopard,gaurapipra,bahraich,Gujarat,14yr,Dead,She went to field when a hiding leopard pounced on her,Leopard kills teen girl in Bahraich | Lucknow News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.607240914032165,81.59222459129096,414,2210,127,1952
15,27/07/25,leopard,gyanpur,kheri,Uttar pradesh,6yr,Dead,While he was sleeping in a field with his father and later he was found missing and then found dead from a leopard attack,"Leopard snatches 6yo boy, eats parts of body in Kheri | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.976036079234646,80.75160196847222,530,51,17,956
17,11-10-24,leopard,malkapur,bijnor,Uttar pradesh,8yr,Dead,The leopard attacked her while she  was collecting fodder along her mother,Eight-year-old girl killed in leopard attack in Uttar Pradesh's Bijnor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33679042738176,78.1421864750022,658,691,565,690
18,05-10-24,leopard,shardanagar,kheri,Uttar pradesh,12yr,Dead,He and his father were passing through a sugarcane field when the leopard hidding in the field attacked the boy,Two children killed in separate incidents in suspected leopard attacks in Uttar Pradesh's Lakhimpur Kheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.98628482152424,80.81444698850697,287,2317,569,1450
19,27/08/23,leopard,shahpur,bijnor,Uttar pradesh,60yr,Dead,She had gone to the forest to get fodder and later was found dead,https://www.deccanherald.com/india/uttar-pradesh/elderly-woman-dies-in-leopard-attack-in-uttar-pradesh-2662758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.355427256825017,78.09306302678579,572,1639,1346,1636
20,16/05/25,leopard,sansarpur,bijnor,Uttar pradesh,52yr,Dead,He was returning home when a leopard appeared from fields near his home,UP Leopard Attack: Farmer Killed by Leopard in Bijnor's Sansarpur Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.328373921776905,78.14232343186376,299,904,685,1291
21,23/08/24,leopard,jalalpur hasna,bijnor,Uttar pradesh,45yr,Dead,While he was working in his farm,Leopard kills farmer in Uttar Pradesh's Bijnor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.414299225608335,78.16680930445324,330,1809,625,1858
22,29/09/24,Tiger,bhadaiya,kheri,Uttar pradesh,40yr,Dead,He was attacked by the tiger which was hiding in the sugarcane field,Uttar Pradesh man critically injured in tiger attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9267650922563,80.77540040856356,508,2482,1311,1600
26,19/05/25,leopard,nimgaon swara,pune,Maharastra,35yr,injured,He was attacked while  he was at his farm with his family during night,Four injured in two separate leopard attacks in Junnar   | Hindustan Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.555403645971463,73.81350760752909,543,1711,853,1440
28,06-01-20,leopard,bhogpur,bijnor,Uttar pradesh,14yr,Dead,He was waling through sugarcane field when the leopard pounced on him and dragged and killed him,https://www.ndtv.com/india-news/leapord-that-killed-teen-5-others-in-up-shot-dead-by-angry-villagers-2159828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.412476620464627,78.08315665698304,691,1203,961,1191
30,31/12/24,leopard,dindori,Nashik,Maharastra,8yr,injured,When was in the farm accompaning her mother the                           l eopard ponced and dragged her,https://timesofindia.indiatimes.com/city/nashik/8-year-old-injured-in-leopard-attack-in-nashiks-dindori/articleshow/116863268.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9865767244026,73.75103500357876,613,1126,154,1865
32,05-12-24,Tiger,pitesur,bhandara,Maharastra,60yr,Dead,He went to go fishing in his farm and later he was found dead,https://timesofindia.indiatimes.com/city/nagpur/tragic-tiger-attack-claims-life-of-bhandara-farmer/articleshow/116019561.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17668859885777,79.64094814891943,585,1757,489,1066
33,11-05-25,Tiger,chichpalli,chandrapur,Maharastra,65yr,Dead,When she was collecting leaves the tiger emerged and  attacked her,Woman dies in tiger attack in Chichpalli; hunt on for killer of 3 women day earlier | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97719044631623,79.27931113628712,391,2827,1409,1579
34,26/03/25,Tiger,devipura-majhgaon,champawat,Uttarakhand,45yr,Dead,When she was collecting woods from the forest the tiger attacked her,Woman mauled to death in tiger attack in Champawat | Dehradun News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.29999282399487,80.12829791549288,476,1745,784,284
35,05-01-25,leopard,baba purva,kheri,Uttar pradesh,45yr,injured,He was attacked by the leopard when he went with him family to guard the maze field,https://timesofindia.indiatimes.com/city/bareilly/man-45-injured-by-big-cat-in-kheri/articleshow/116971098.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.980391376664585,80.75554000917829,360,1783,1127,396
36,04-01-25,leopard,dumera majhra,kheri,Uttar pradesh,14yr,Dead,He was attacked near his home,"Man, 45, injured by big cat in Kheri | Bareilly News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.96767031472022,80.75580274116481,659,1489,1416,11
40,09-09-25,leopard,badiya,bijnor,Uttar pradesh,8yr,Dead,while his mother went to fetch water the leopard from sugarcane field attacked the boy,ClearedRains drive leopards into villages; 3 kids killed in a week | Meerut News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.404187312489835,78.16036810902901,513,2344,245,1630
41,23/07/25,leopard,mandurai,bijnor,Uttar pradesh,7yr,Dead,She didn't return back after playing outside and was later found dead,https://timesofindia.indiatimes.com/city/meerut/leopard-kills-7-year-old-girl-in-bijnor-village/articleshow/122887982.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.419387367521136,78.0846050592413,221,885,1199,1325
42,14/02/25, leopard,mukrampur,bijnor,Uttar pradesh,12yr,injured,She along with her mother went to collect fodder in sugarcane field when the leopard attacked her,https://timesofindia.indiatimes.com/city/meerut/girl-12-severely-injured-in-leopard-attack-in-bijnor/articleshow/118283888.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.39521245774049,78.11270774724136,452,252,1062,1921
45,29/08/23,leopard,chandpur,bijnor,Uttar pradesh,30yr,Dead,He went to sugarcane field but didn't return,Leopard Attack: 30-yr-old farmer mauled to death by leopard in Bijnor | Agra News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.35202590619897,78.15991428698135,760,172,758,1276
46,17/11/24,Tiger,ganeshpur patli,chandrapur,Maharastra,72yr,Dead,He was attacked and dragged into nearby short shrubs,Tiger Attack Claims Life of Farmer in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.979551736442,79.25795722424218,674,450,537,498
47,24/12/24,leopard,pimpalsuti,pune,Maharastra,4yr,Dead,The leopard hiding near her home pounced on her and dragged her to sugarcane field,4-year-old girl dies in leopard attack in Pune's Shirur taluka | Pune News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.530268340020832,73.85223274849382,258,816,920,753
48,10-05-25,Tiger,medhamal,chandrapur,Maharastra,55yr,Dead,She along other two went to forest tocollect tendu patta,Three Women Mauled To Death in Single Tiger Attack in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.003940448791976,79.31589190892105,710,343,407,34
49,10-05-25,Tiger,medhamal,chandrapur,Maharastra,30yr,Dead,She along other two went to forest tocollect tendu patta,Three Women Mauled To Death in Single Tiger Attack in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97739915845101,79.31145015274514,675,2377,524,726
50,10-05-25,Tiger,medhamal,chandrapur,Maharastra,50yr,Dead,She along other two went to forest tocollect tendu patta,Three Women Mauled To Death in Single Tiger Attack in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.983298629775835,79.31988768890668,389,2981,827,848
51,22/01/23,leopard,horalahalli,mysuru,Karnataka,11yr,Dead,He was found about a km away from the village,Boy killed in suspected leopard attack in Mysuru | Mysuru News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.324532324022499,76.67880881197267,762,247,902,89
55,31/12/22,Tiger,torgoan,chandrapur,Maharastra,60yr,Dead,She was working in her field when the tiger attacked her,Man-animal conflict claims another life; 2022 toll reaches 53 | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.942913201703043,79.29973704955682,766,1980,35,775
56,23/12/24,Tiger,kavitpeth,chandrapur,Maharastra,60yr,Dead,She was working in her field when the tiger attacked her,"Tiger kills woman in her farm, 29th death in wild animal attack in Chanda this year | Nagpur News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91881466824009,79.31972344177521,443,2849,684,604
57,18/07/25,leopard,kalabari,jalpaiguri,West bengal,3yr,Dead,when the boy was sitting outside his home the leopard attacked him,Leopard kills boy in Kalabari tea estate | Kolkata News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.581285135769647,88.72335841342525,704,2241,19,1945
58,20/07/25,leopard,mewatpur,pilibhit,Uttar pradesh,50yr,injured,While she was suspecting her sugarcane crop,"Leopard, jackal injure 2 in separate incidents | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.683805878047945,79.80129029369715,330,658,320,969
59,09-06-25,Tiger,mewatpur,pilibhit,Uttar pradesh,33yr,Dead,Tiger atacked him,"Leopard, jackal injure 2 in separate incidents | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.655549674286434,79.80052511087791,684,1197,511,1625
61,16/09/25,Tiger,bhojhba,kheri,Uttar pradesh,65yr,injured,He along with his son was attacked while collecting fodder in the field, https://timesofindia.indiatimes.com/city/bareilly/father-son-injured-in-tiger-attack-in-kheri/articleshow/123927628.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.968923417991885,80.72108883852452,220,236,399,1021
62,16/09/25,Tiger,bhojhba,kheri,Uttar pradesh,30yr,injured,He and his father were collecting fodder in field when the tiger prowling in an adjacent field attacked on them,https://timesofindia.indiatimes.com/city/bareilly/father-son-injured-in-tiger-attack-in-kheri/articleshow/123927628.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.92678276923985,80.78930434211483,366,2561,653,417
63,14/09/25,leopard,issepur,bijnor,Uttar pradesh,36yr,Dead,She was collecting fodder from the field when leopard came from the nearby sugarcane field,"Woman killed by leopard in Bijnor, 4th victim in 12 days | India News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.34659959628504,78.14356706260534,473,1844,971,114
64,18/09/25,leopard,gadbori,chandrapur,Maharastra,7yr,Dead,He was attacked and dragged away,"7-year-old boy killed by leopard, body recovered | Nagpur News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.962689649513063,79.33988852460271,587,709,470,616
66,16/09/25,leopard,kherkata,jalpaiguri,West bengal,13yr,Dead,The boy had gone to get chips from a local store when the leopard attacked him,Leopard mauls Nagrakata boy; 3rd kill in less than 2 months | Kolkata News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.567580580254827,88.72514002531486,515,2861,1166,1926
68,15/09/25,leopard,nandwal,bahraich,Uttar pradesh,70yr,injured,The leopard attacked her while she was drawing water from tap at her home,Bahraich villagers in fear as animal attacks rise | Lucknow News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58421370833059,81.60253818839382,213,2005,1115,1219
77,21/11/22,leopard,nausar gumtiha,bahraich,Uttar pradesh,10yr,Dead,She was collecting vegetables from the field when the leopard attacked her,Leopards Maul Two Children to Death in Separate Savage At... - Newsweek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58754012525334,81.5642358304217,441,2500,1377,825
82,22/10/20,leopard,bajwal,nainital,Uttarakhand,18yr,Dead,She was going to forest to fetch fodder when the leopard attacked her,"Teenager killed by leopard in Nainital, 2nd fatality in same area in 24 hours | Hindustan Times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.35379473024682,79.43444804803511,545,1419,833,1524
83,21/10/20,leopard,tusrad,nainital,Uttarakhand,13yr,Dead,She was attacked by a man eater leopard,Leopard that killed 13-year-old girl in Uttarakhands Nainital declared man-eater | Hindustan Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.40231754642193,79.41305135314333,764,2036,726,1649
90,5-11-20,leopard,anegundi,koppal,Karnataka,24yr,Dead,He was atacked on his way back home,"Leopard attacks and kills 24-year-old temple cook in Karnataka, search on for big cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.383688954882876,76.17334656056322,539,1584,853,1516
91,16/10/20,leopard,anegundi,koppal,Karnataka,65yr,injured,She was attacked by leopard during her tour,"Leopard attacks and kills 24-year-old temple cook in Karnataka, search on for big cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.381842168754142,76.16701270592618,291,196,50,1098
97,5-1-20,leopard,vadgoan patole,pune,Maharastra,18yr,injured,When he was on his way to meet his father in farm,Youth injured in leopard attack in Khed taluka | Pune News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.49405292190181,73.82507214650612,566,2961,574,412
105,25/09/25,Elephant,Maruthamalai,coimbatore,Tamil nadu,55yr,Dead,He was attacked by a wild elephant that entered the farm,Man succumbs to injuries after elephant attack near Coimbatore - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.964162772026413,76.97311713168016,654,1784,1213,1399
109,24/07/25,Elephant,viraliyur,coimbatore,Tamil nadu,51yr,injured,when  the woman went to an area close to the boundary of Boluvampatti block III reserve forest ,Woman injured in elephant attack near Coimbatore - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.050751656006998,76.93194311548017,627,1893,1148,1443
110,26/08/25,Elephant,madhahalli,mysuru,Karnataka,54yr,Dead,He was attacked while he was on his duty,Guard killed in wild elephant attack at Thalavadi - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.297519128009256,76.65586432312278,708,538,149,728
